Time,Heart Rate,Max Heart Rate,Time of Max,Minimum Heart Rate,Time of Minimum,Average Heart Rate
13:37:53,75,,,,,
13:37:58,75,,,,,
13:38:13,75,,,,,
13:38:28,75,,,,,
13:38:43,75,,,,,
13:38:58,73,,,,,
13:39:13,73,,,,,
13:39:28,73,,,,,
13:39:43,73,,,,,
13:39:58,73,,,,,
13:40:08,74,,,,,
13:40:13,75,,,,,
13:40:28,75,,,,,
13:40:43,76,,,,,
13:40:58,76,,,,,
13:41:13,76,,,,,
13:41:28,76,,,,,
13:41:43,76,,,,,
13:41:48,75,,,,,
13:42:03,75,,,,,
13:42:08,74,,,,,
13:42:13,73,,,,,
13:42:28,74,,,,,
13:42:33,73,,,,,
13:42:40,72,,,,,
13:42:50,73,,,,,
13:43:00,74,,,,,
13:43:05,73,,,,,
13:43:20,73,,,,,
13:43:35,73,,,,,
13:43:50,73,,,,,
13:43:55,72,,,,,
13:44:00,71,,,,,
13:44:15,71,,,,,
13:44:30,71,,,,,
13:44:45,71,,,,,
13:44:55,71,,,,,
13:45:00,70,,,,,
13:45:15,71,,,,,
13:45:30,71,,,,,
13:45:35,72,,,,,
13:45:50,71,,,,,
13:45:55,72,,,,,
13:46:00,71,,,,,
13:46:10,72,,,,,
13:46:15,73,,,,,
13:46:30,73,,,,,
13:46:40,72,,,,,
13:46:55,73,,,,,
13:47:00,84,,,,,
13:47:07,82,,,,,
13:47:12,81,,,,,
13:47:22,80,,,,,
13:47:37,80,,,,,
13:47:47,81,,,,,
13:47:52,80,,,,,
13:47:57,79,,,,,
13:48:12,79,,,,,
13:48:27,78,,,,,
13:48:37,78,,,,,
13:48:42,77,,,,,
13:48:52,77,,,,,
13:49:07,77,,,,,
13:49:22,77,,,,,
13:49:37,77,,,,,
13:49:52,77,,,,,
13:50:07,77,,,,,
13:50:17,76,,,,,
13:50:22,75,,,,,
13:50:32,76,,,,,
13:50:37,76,,,,,
13:50:47,77,,,,,
13:50:52,80,,,,,
13:50:57,81,,,,,
13:51:02,80,,,,,
13:51:07,81,,,,,
13:51:12,82,,,,,
13:51:19,84,,,,,
13:51:24,83,,,,,
13:51:29,83,,,,,
13:51:34,80,,,,,
13:51:39,79,,,,,
13:51:44,76,,,,,
13:51:49,75,,,,,
13:51:54,74,,,,,
13:52:09,74,,,,,
13:52:24,72,,,,,
13:52:29,71,,,,,
13:52:39,70,,,,,
13:52:49,69,,,,,
13:52:59,70,,,,,
13:53:09,69,,,,,
13:53:24,70,,,,,
13:53:39,70,,,,,
13:53:54,70,,,,,
13:54:09,70,,,,,
13:54:24,70,,,,,
13:54:39,70,,,,,
13:54:54,70,,,,,
13:55:04,70,,,,,
13:55:19,70,,,,,
13:55:29,72,,,,,
13:55:39,73,,,,,
13:55:54,73,,,,,
13:55:57,73,,,,,
13:56:12,73,,,,,
13:56:27,73,,,,,
13:56:42,73,,,,,
13:56:57,73,,,,,
13:57:07,73,,,,,
13:57:22,72,,,,,
13:57:27,72,,,,,
13:57:42,72,,,,,
13:57:47,73,,,,,
13:57:52,74,,,,,
13:58:07,74,,,,,
13:58:17,73,,,,,
13:58:22,72,,,,,
13:58:27,71,,,,,
13:58:42,71,,,,,
13:58:57,71,,,,,
13:59:12,71,,,,,
13:59:17,72,,,,,
13:59:32,72,,,,,
13:59:42,73,,,,,
13:59:52,74,,,,,
14:00:07,74,,,,,
14:00:17,73,,,,,
14:00:22,73,,,,,
14:00:32,73,,,,,
14:00:37,73,,,,,
14:00:44,73,,,,,
14:00:59,73,,,,,
14:01:14,73,,,,,
14:01:29,74,,,,,
14:01:44,74,,,,,
14:01:49,73,,,,,
14:02:04,73,,,,,
14:02:09,74,,,,,
14:02:14,76,,,,,
14:02:24,77,,,,,
14:02:34,78,,,,,
14:02:39,77,,,,,
14:02:49,78,,,,,
14:03:04,78,,,,,
14:03:09,79,,,,,
14:03:24,80,,,,,
14:03:29,79,,,,,
14:03:34,78,,,,,
14:03:39,77,,,,,
14:03:54,77,,,,,
14:03:59,76,,,,,
14:04:14,76,,,,,
14:04:29,76,,,,,
14:04:44,76,,,,,
14:04:59,76,,,,,
14:05:14,76,,,,,
14:05:29,75,,,,,
